name,price,rating,urls,details,_id
MSI GF63 Thin Intel Core i5 8GB 512GB GTX 1650 144Hz 15.6 Inch Windows 11 Gaming Laptop,£527.97,25%,https://www.laptopsdirect.co.uk/msi-gf63-thin-core-i5-11400h-8gb-512gb-15.6-inch-windows-11-home-gaming-lap-9s7-16r612-496/version.asp,"Intel Core i5 11400H Processor, GeForce GTX 1650 4GB Graphics card, 15.6 Inch Full HD 144Hz Screen, 8GB RAM, 512GB SSD",650b4bf8424970cd85c38966
Asus TUF Gaming F15 Intel Core i5 8GB 512GB RTX 2050 144Hz FHD 15.6 Inch Windows 11 Home Gaming Laptop,£597.97,28%,https://www.laptopsdirect.co.uk/asus-tuf-gaming-f15-intel-core-i5-11400h-8gb-ram-512gb-ssd-nvidia-rtx-2050-fx506hf-hn001w/version.asp,"Intel Core i5 11400H Processor, GeForce RTX 2050 4GB Graphics card, 15.6 Inch Full HD 144Hz Screen, 8GB RAM, 512GB SSD",650b4bf8424970cd85c38967
HP ProBook 635 Aero G8 AMD Ryzen 5 8GB RAM 256GB SSD 13.3 Inch FHD Windows 10 Pro Laptop,£429.97,28%,https://www.laptopsdirect.co.uk/-43a03ea/version.asp,"AMD Ryzen 5 5600U Processor, Radeon Graphics Graphics card, 13.3 Inch Full HD Screen, 8GB RAM, 256GB SSD",650b4bf8424970cd85c38968
MSI Pulse 15 Core i7-13700H 16GB 1TB SSD RTX 4060 165Hz QHD 15.6 Inch Gaming Laptop,£1197.97,20%,https://www.laptopsdirect.co.uk/msi-pulse-15-intel-core-i7-13700h-16gb-1tb-ssd-geforce-rtx-4060-15.6-inch-g-9s7-158561-295/version.asp,"Intel Core i7 13700H Processor, GeForce RTX 4060 8GB Graphics card, 15.6 Inch QHD Screen, 16GB RAM, 1TB SSD",650b4bf8424970cd85c38969
MSI Katana 17 Intel Core i7 16GB 1TB SSD RTX 4050 144Hz 17.3 Inch Windows 11 Gaming Laptop,£1097.97,24%,https://www.laptopsdirect.co.uk/msi-katana-17-intel-core-i7-13620h-16gb-1tb-ssd-geforce-rtx-4050-17.3-inch-9s7-17l541-015/version.asp,"Intel Core i7 13620H Processor, GeForce RTX 4050 Graphics card, 17.3 Inch Full HD 144Hz Screen, 16GB RAM, 1TB SSD",650b4bf8424970cd85c3896a
Refurbished Dell Latitude 5480 Core i5 6th gen 8GB 256GB 14 Inch Windows 10 Professional Laptop,£249.97,Excellent Condition,https://www.laptopsdirect.co.uk/refurbished-dell-latitude-5480-core-i5-6th-gen-8gb-256gb-14-inch-windows-10-t1-5480i58gb256gbw10p/version.asp,"Intel Core i5 6300U Processor, 14 Inch 1366 x 768 Screen, 8GB RAM, 256GB SSD, 1 year warranty",650b4bf8424970cd85c3896b
MSI Thin GF63 Intel Core i5 8GB 512GB RTX 4050 144Hz 15.6 Inch Windows 11 Gaming Laptop,£759.97,24%,https://www.laptopsdirect.co.uk/msi-thin-gf63-intel-core-i5-12450h-8gb-512gb-ssd-geforce-4050-15.6-inch-gam-9s7-16r821-049/version.asp,"Intel Core i5 12450H Processor, GeForce RTX 4050 Graphics card, 15.6 Inch Full HD 144Hz Screen, 8GB RAM, 512GB SSD",650b4bf8424970cd85c3896c
MSI Stealth 17 Studio Intel Core i7-13700H 16GB 1TB SSD RTX 4070 240Hz QHD 17.3 Inch Gaming Laptop,£1699.97,37%,https://www.laptopsdirect.co.uk/msi-stealth-17-studio-intel-core-i7-13700h-16gb-1tb-ssd-geforce-rtx-4070-17-9s7-17p311-007/version.asp,"Intel Core i7 13700H Processor, GeForce RTX 4070 Graphics card, 17.3 Inch QHD Screen, 16GB RAM, 1TB SSD",650b4bf8424970cd85c3896d
Medion Erazer Major X20 Intel Core i9 32GB 1TB RTX 4070 240Hz QHD 16 Inch Windows 11 Gaming Laptop,£1899.97,5%,https://www.laptopsdirect.co.uk/medion-erazer-nb-major-x20-16-qhd-240hz-intel-core-i9-13900hx-32-gb-1-tb-30035515/version.asp,"Intel Core i9 13900HX Processor, GeForce RTX 4070 8GB Graphics card, 16 Inch 2560 x 1600 Screen, 32GB RAM, 1TB SSD",650b4bf8424970cd85c3896e
Lenovo Legion 5 AMD Ryzen 7 16GB 512GB RTX 3060 165Hz 15.6 Inch Windows 11 Home Gaming Laptop,£1299.97,AMD Ryzen 7 6800H,https://www.laptopsdirect.co.uk/lenovo-legion-5-amd-ryzen-7-6800h-16gb-512gb-ssd-rtx-3060-15.6-inch-windows-82rd000buk/version.asp,"AMD Ryzen 7 6800H Processor, GeForce RTX 3060 6GB Graphics card, 15.6 Inch QHD Screen, 16GB RAM, 512GB SSD",650b4bf8424970cd85c3896f
Razer Blade 16 Intel Core i9 16GB 1TB RTX 4060 240Hz QHD+ 16 Inch Windows 11 Gaming Laptop,£2399.97,11%,https://www.laptopsdirect.co.uk/blade-16-rz09-0483rwh3-r3w1/version.asp,"Intel Core i7 13800H Processor, RTX 4060 8GB Graphics card, 16 Inch 2560 x 1600 Screen, 16GB RAM, 1TB SSD",650b4bf8424970cd85c38970
"Medion Erazer NB Scout E10 17.3"" FHD 144Hz Intel Core i5-12450H 8 GB 512 GB  RTX 3050 Windows 11 Home Gaming Laptop",£679.97,20%,https://www.laptopsdirect.co.uk/medion-erazer-nb-scout-e10-17.3-fhd-144hz-intel-core-i5-12450h-8-gb-512-gb-30035490/version.asp,"Intel Core i5 12450H Processor, GeForce RTX 3050 Graphics card, 17.3 Inch Full HD 144Hz Screen, 8GB RAM, 512GB SSD",650b4bf8424970cd85c38971
Asus TUF Gaming F15 Intel Core i5 16GB 512GB RTX 3050 144Hz FHD 15.6 Inch Windows 11 Home Gaming Laptop,£699.97,21%,https://www.laptopsdirect.co.uk/asus-tuf-gaming-f15-intel-core-i5-11400h-16gb-ram-512gb-ssd-nvidia-rtx-3050-fx506hc-hn057w/version.asp,"Intel Core i5 11400H Processor, GeForce RTX 3050 4GB Graphics card, 15.6 Inch Full HD 144Hz Screen, 16GB RAM, 512GB SSD",650b4bf8424970cd85c38972
ASUS ROG Zephyrus G16 Intel Core i9 16GB 1TB RTX 4070 240Hz WQXGA 16 Inch Windows 11 Home Gaming Laptop,£1889.97,24%,https://www.laptopsdirect.co.uk/asus-rog-zephyrus-g16-intel-core-i9-13900h-16gb-ram-1tb-ssd-nvidia-rtx-4060-gu603vi-n4015w/version.asp,"Intel Core i9 13900H Processor, GeForce RTX 4070 Graphics card, 16 Inch 2560 x 1600 Screen, 16GB RAM, 1TB SSD",650b4bf8424970cd85c38973
Apple MacBook Air 2023 15.3 Inch M2 8GB RAM 256GB SSD - Space Grey,£1269.97,9%,https://www.laptopsdirect.co.uk/apple-macbook-air-2023-15.3-inch-m2-8gb-ram-256gb-ssd-space-grey-mqkp3b-a/version.asp,"M2 Processor, 15.3 Inch 2880 x 1864 Screen, 8GB RAM, 256GB SSD, 1 year warranty",650b4bf8424970cd85c38974
